f,g
0.2,27.77622827
0.3,41.94653471
0.5,51.61393879
1,57.63453871
1.3,58.9290453
1.5,59.69594514
1.8,59.93723537
10,60.94705522
30,60.51267022
40,57.31865336
41,56.73660573
42,56.01983723
45,52.90844539
47,49.11516406
50,31.61393879
51,36.47469977
53,45.34155633
55,48.60408197
57,50.12901823
58,50.55981178
60,51.05336432
70,50.34708549
80,48.60408197
90,46.64391991
100,44.94964521
